COD_CURSO;CURSO;CURRICULO;COD_DISCIPLINA;DISCIPLINA;TIPO
13301200;ADMINISTRAÇÃO - N;1995;1304025;BASQUETEBOL - FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304013;BASQUETEBOL - MASC;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301037;CONTABILIDADE DE CUSTOS;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301001;CONTABILIDADE GERAL;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301075;CONTABILIDADE PUBLICA;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301079;CRIAÇÃO DE NOVOS NEGÓCIOS;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301059;CULTURA ORGANIZACIONAL;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1305075;DIREITO ADMINISTRATIVO;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1303012;ECONOMIA BRASILEIRA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1303001;ECONOMIA I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1303002;ECONOMIA II;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1304009;EDUCAÇÃO FÍSICA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1303014;ELABORAÇÃO E ANÁLISE DE PROJETO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1303076;ELABORAÇÃO E ANÁLISE DE PROJETOS;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1305253;ENADE/CONCLUINTE;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1305254;ENADE/INGRESSANTE;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301018;ENGENHARIA ECONOMICA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1105269;ERGONOMIA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301024;ESTAGIO SUPERVISIONADO (EMPRESA);Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301111;ESTAGIO SUPERVISIONADO (PUBLICA);Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1114031;ESTATISTICA DESCRITIVA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301004;ESTRUTURA E ANÁLISE DE BALANÇO;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301076;FORMACAO DE EMPREENDEDORES;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1307009;FRANCES;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304059;FUTEBOL DE CAMPO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304172;FUTEBOL MASCULINO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304055;FUTSAL;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304123;FUTSAL - FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301071;GERENCIAMENTO DOS SUPRIMENTOS;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301078;GESTAO DA QUALIDADE;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304022;GINASTICA - FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304010;GINASTICA - MASC;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304117;GINASTICA MASC/FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304026;HANDEBOL - FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1114032;INFERENCIA ESTATISTICA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1307011;INGLES;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1305072;INST DO DIREITO PUBL E PRIVADO;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301005;INTRODUCAO A ADMINISTRACAO;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1305147;INTRODUÇÃO À FILOSOFIA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1411137;INTRODUÇÃO À INFORMÁTICA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1305015;INTRODUCAO A POLITICA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1305184;INTRODUCAO A POLITICA;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301086;INTRODUCAO A PSICOLOGIA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1304015;INTRODUCAO A PSICOLOGIA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301041;INTRODUCAO A SOCIOLOGIA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1305027;INTRODUCAO A SOCIOLOGIA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1304060;JUDO - FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304173;JUDO - MASC/FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1305073;LEGISLACAO SOCIAL;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1305074;LEGISLACAO TRIBUTARIA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1307045;LINGUA PORTUGUESA;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1109083;MATEMÁTICA APLICADA À ADMINISTRAÇÃO I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1109084;MATEMÁTICA APLICADA À ADMINISTRAÇÃO II;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301011;MATEMÁTICA FINANCEIRA;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301007;MERCADO DE CAPITAIS;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1305052;MÉTODO E TÉCNICA DE PESQUISA I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1305023;MÉTODO E TÉCNICA DE PESQUISA II;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301085;MÉTODOS E TÉCNICAS DE PESQUISA I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301056;MICROINF. EM ADMINISTRACAO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301040;ORCAMENTO EMPRESARIAL;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301074;ORCAMENTO PUBLICO;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301072;",ORGANIZACAO,, SIST E METODOS I,";Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301073;",ORGANIZACAO,, SIST E METODOS II,";Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301019;PESQUISA OPERACIONAL;Complementar
13301200;ADMINISTRAÇÃO - N;1995;1301080;PLANEJAMENTO EMPRESARIAL;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1303072;PLANEJAMENTO URBANO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301048;PRATICA ADMINISTRATIVA;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301061;PROCESSO DECISORIO;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301062;PSICOLOGIA DAS ORGANIZACOES;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301053;SOCIEDADES COMERCIAIS;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301063;SOCIOLOGIA DAS ORGANIZACOES;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301101;TEA (EDUCAÇÃO AMBIENTAL E CIDADANIA);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301102;TEA (EXTENSÃO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301089;TEA (GERENC FIN NA EMP DE PEQ PORTE);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301097;TEA (GESTAO AMBIENTAL);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1411143;TEA (INFORMÁTICA APLICADA);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301083;TEA (INTERNET E MARKETING);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301090;TEA (TEC DE ADM EST DE C E J DE EMPRESA);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301100;TEA (WEB-MARKETING);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301098;TEA(ADM DE ORGANIZACOES TERCEIRO SETOR);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301116;TEA(ADMINISTRACAO DE SERVICOS);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301096;TEA(CONCEITOS CONTAB E SUAS APLICACOES);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301095;TEA(CULTURA E MEIO AMBIENTE);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301115;TEA(ESTRATEGIAS EM REDES EMPRESARIAIS);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301099;TEA(GESTAO DA INOVACAO TECNOLOGICA);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301110;TEA(GESTÃO DO CONHECIMENTO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301120;TEA(GESTAO DO TURISMO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301121;TEA(GESTAO PUBLICA);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301114;TEA(MARKETING CULTURAL);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301094;TEA(PLANEJAMENTO E ORG. DO TURISMO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301093;TEA(PLANEJAMENTO ESTRATEGICO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301122;TEA(POLITICAS PUBLICAS;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301112;TEA(RESPONSAB. SOCIAL DAS ORGANIZACOES);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1105321;TE(ERGONOMIA NO TRABALHO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1105320;TE(HIG/SEG/QUALIDADE DO TRABALHO);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301026;TEORIA GERAL ADMINISTRACAO I;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1301027;TEORIA GERAL ADMINISTRACAO II;Obrigatoria
13301200;ADMINISTRAÇÃO - N;1995;1105319;TE(QUALIDADE E PRODUTIVIDADE);Optativa
13301200;ADMINISTRAÇÃO - N;1995;1301047;TOPICOS ESP. EM ADMINISTRACAO;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304012;VOLEIBOL - MASC/FEM;Optativa
13301200;ADMINISTRAÇÃO - N;1995;1304024;VOLEIBOL - MAS/FEM;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103085;ADMINISTRAÇÃO DA PRODUÇÃO I;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103089;ADMINISTRAÇÃO DA PRODUÇÃO II;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103083;ADMINISTRAÇÃO DE MARKETING;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103082;ADMINISTRAÇÃO DE PESSOAS I;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103086;ADMINISTRAÇÃO DE PESSOAS II;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103081;ADMINISTRAÇÃO DE REC MAT E PATRIMONIAIS;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103102;ADMINISTRAÇÃO DE SERVIÇOS;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103087;ADMINISTRAÇÃO DE SIST DE INFORMAÇÃO I;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103091;ADMINISTRAÇÃO DE SIST DE INFORMAÇÃO II;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103109;ADMINISTRAÇÃO DO CONHECIMENTO;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103092;ADMINISTRAÇÃO FINANCEIRA I;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103094;ADMINISTRAÇÃO FINANCEIRA II;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103095;ADMINISTRAÇÃO LOGÍSTICA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103099;ADMINISTRAÇÃO PÚBLICA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103078;ANÁLISE ECÔNOMICA I;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103084;ANÁLISE ECÔNOMICA II;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103108;ATIVIDADES COMPLEMENTARES FLEXIVEIS;Complementar
31301200;ADMINISTRAÇÃO - N;2009;3103110;COMERCIO ELETRONICO;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103111;COMPORTAMENTO DO CONSUMIDOR;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103093;COMPORTAMENTO ORGANIZACIONAL;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103104;COMUNICAÇÃO EMPRESARIAL;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103077;CONTABILIDADE BASICA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103004;CONTABILIDADE DE CUSTOS;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103006;CONTABILIDADE GERENCIAL;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103010;CONTROLADORIA;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103088;DIREITO EMPRESARIAL;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103115;DIREITO SOCIAL;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103100;ELABORAÇÃO DE PROJETO DE PESQUISA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103096;ELABORAÇÃO E ANÁLISE DE PROJETOS;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103054;EMPREENDEDORISMO;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103098;ESTAGIO CURRICULAR SUPERVISIONADO I;Complementar
31301200;ADMINISTRAÇÃO - N;2009;3103105;ESTAGIO CURRICULAR SUPERVISIONADO II;Complementar
31301200;ADMINISTRAÇÃO - N;2009;3103079;ESTATISTICA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103101;ETICA PROFISSIONAL;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103072;FILOSOFIA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103113;FINANCAS COMPORTAMENTAIS;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103076;FUNDAMENTOS DE MARKETING;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103114;GOVERNANCA CORPORATIVA;Optativa
31301200;ADMINISTRAÇÃO - N;2009;3103074;INSTITUICOES DO DIREITO PUBLIC E PRIVADO;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103068;INTRODUÇÃO À INFORMÁTICA;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103106;JOGOS DE EMPRESAS;Obrigatoria
31301200;ADMINISTRAÇÃO - N;2009;3103028;MATEMÁTICA BÁSICA;Obrigatoria
